neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,first_review,review_scores_rating,amnt_self_checkin,amnt_instant_book,amnt_kitchen,amnt_hair_dryer,amnt_free_parking,amnt_wifi,amnt_private_bathroom,amnt_bbq_grill,amnt_washer,amnt_pets_allowed,amnt_clothes_dryer,amnt_heating,amnt_air_conditioning,amnt_workspace,amnt_iron,amnt_pool,amnt_bathtub,amnt_ev_charger,amnt_crib,amnt_king_bed,amnt_gym,amnt_breakfast,amnt_fireplace,amnt_smoking_allowed,amnt_waterfront,amnt_smoke_alarm,amnt_carbon_monoxide_alarm
Edogawa Ku,Private room in rental unit,Private room,10,1.5,3.0,6.0,28560.0,3,2024-07-15,5.0,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
Kita Ku,Entire home,Entire home/apt,10,1.0,2.0,0.0,13429.0,3,2024-12-29,5.0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
Nakano Ku,Entire rental unit,Entire home/apt,2,1.5,1.0,0.0,9163.0,16,2024-05-30,4.38,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Shinjuku Ku,Entire rental unit,Entire home/apt,7,1.0,2.0,0.0,12786.0,5,2024-07-27,4.8,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,6,1.0,2.0,0.0,15000.0,1,2025-06-11,5.0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,6,1.0,2.0,0.0,13286.0,2,2025-03-01,4.5,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,6,1.0,2.0,0.0,13500.0,0,,,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Katsushika Ku,Entire home,Entire home/apt,5,1.0,2.0,5.0,25143.0,21,2024-06-07,4.95,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Shibuya Ku,Entire home,Entire home/apt,6,1.5,2.0,0.0,96000.0,1,2025-05-22,4.0,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0
Shibuya Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,15892.0,36,2024-05-19,4.67,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Shinjuku Ku,Entire rental unit,Entire home/apt,8,1.5,3.0,8.0,56302.0,39,2024-05-20,5.0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,1,1
Ota Ku,Entire home,Entire home/apt,7,1.0,2.0,6.0,23835.0,43,2024-08-07,4.95,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0
Minato Ku,Entire rental unit,Entire home/apt,9,1.0,1.0,5.0,66602.0,44,2024-07-17,4.93,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Suginami Ku,Entire rental unit,Entire home/apt,16,2.0,5.0,14.0,23866.0,36,2024-05-27,4.89,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Koto Ku,Entire home,Entire home/apt,6,1.0,1.0,4.0,25027.0,45,2024-08-04,4.87,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0
Sumida Ku,Entire home,Entire home/apt,10,1.0,2.0,4.0,20455.0,60,2024-05-04,4.73,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0
Sumida Ku,Private room in rental unit,Private room,2,1.0,1.0,1.0,3880.0,20,2024-05-18,4.05,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Toshima Ku,Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,13551.0,59,2024-05-13,4.86,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Bunkyo Ku,Private room in ryokan,Private room,2,1.5,1.0,2.0,9354.0,32,2024-05-26,4.84,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Koto Ku,Entire rental unit,Entire home/apt,10,1.5,3.0,0.0,40035.0,25,2024-06-07,4.88,1,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Minato Ku,Entire rental unit,Entire home/apt,10,2.0,2.0,5.0,70215.0,51,2024-07-03,4.92,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Shibuya Ku,Entire rental unit,Entire home/apt,3,1.0,0.0,0.0,25000.0,0,,,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Shibuya Ku,Entire rental unit,Entire home/apt,3,0.5,0.0,0.0,25000.0,0,,,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Toshima Ku,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,9157.0,65,2024-05-12,4.88,1,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0
Shibuya Ku,Entire rental unit,Entire home/apt,2,0.5,0.0,1.0,25000.0,0,,,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
